user_id,article_1,article_2,article_3,article_4,article_5
200000,234698,336221,156964,195087,194917
200001,272143,64329,199198,156624,156560
200002,124194,123818,123757,123290,123909
200003,159019,235105,277107,352979,336254
200004,218028,157478,202355,199372,57966
200005,234698,336221,156964,300082,235870
200006,336245,183176,20691,288440,96210
200007,289003,157478,97530,283791,207603
200008,277107,352979,283009,289003,30389
200009,64329,199198,156624,348111,156560
200010,272143,158536,64329,156624,199198
200011,272143,285343,64329,175040,156624
200012,111043,283505,233688,215993,119534
200013,336245,271262,233742,283764,277067
200014,272143,162765,156560,156447,160417
200015,64409,156964,336221,315105,236338
200016,20691,233742,96127,300234,237580
200017,20691,96210,183176,158094,42158
200018,58580,288440,271262,284583,283437
200019,272143,156560,160417,175040,337082
200020,336220,289090,234267,277491,234269
200021,273395,156624,64329,175040,156560
200022,336221,95716,233625,235870,315105
200023,336220,289090,284096,235854,277492
200024,50644,36162,234481,224730,30760
200025,293301,257291,289126,285719,162296
200026,272143,286336,64329,156624,199198
200027,168623,123909,276970,42727,65468
200028,233917,272143,348111,182513,50823
200029,36162,277107,235105,283009,289003
200030,31836,133160,288320,214206,63307
200031,129434,272218,108856,97082,338339
200032,272143,156447,162765,156560,160417
200033,336245,96210,20691,277067,271262
200034,161801,87236,63307,87579,161506
200035,96210,271262,225010,236566,277067
200036,234698,315105,300082,95716,293218
200037,336221,234698,336223,235870,119193
200038,272143,234000,236065,156560,160417
200039,272143,156560,160417,156624,162655
200040,272143,348111,182513,161409,71500
200041,336254,97530,157478,331116,289003
200042,59131,63307,161801,64346,62567
200043,293050,293114,124749,313996,123826
200044,183176,336220,128260,277491,119534
200045,96210,70215,96260,33398,58619
200046,168623,124228,123909,276970,353012
200047,96210,336245,337441,32088,288440
200048,272143,156624,182513,233917,50823
200049,57748,107305,293513,50504,70079
200050,336245,183176,348112,233742,285533
200051,64329,175040,156624,285343,160417
200052,96210,58580,283764,284583,236566
200053,277492,119534,336220,307779,215674
200054,96210,336245,332198,57616,283402
200055,336220,289090,181585,159938,277492
200056,39894,277107,73506,352979,202320
200057,272143,199197,235230,156560,156624
200058,336254,331116,57966,289003,157478
200059,218028,336254,289003,157478,57966
200060,59057,285663,133160,303180,161506
200061,336220,289090,337192,234267,160142
200062,119193,48403,336223,59057,270229
200063,161801,62567,71035,235652,31520
200064,64329,199198,156624,175040,285343
200065,161801,17080,141004,161506,14394
200066,336223,59057,48403,270229,299871
200067,64409,156964,235870,29953,235616
200068,336221,59681,235616,97108,234698
200069,277107,352979,39894,30389,202320
200070,272143,156624,233917,182513,348134
200071,57748,96210,293513,183876,157798
200072,59057,336223,31836,303180,285663
200073,336220,337192,235616,235854,277491
200074,161801,141004,63307,64346,87228
200075,284985,293114,96755,293050,158906
200076,336221,234698,293218,300082,315105
200077,272143,156560,233917,156624,156447
200078,199198,175040,182394,348111,162655
