user_id,article_1,article_2,article_3,article_4,article_5
249999,284096,337192,235854,235616,277492
249976,331116,166322,161179,336254,206785
249829,235105,277107,202320,36162,283009
249733,331116,277107,289003,283009,352979
249717,331116,157478,97530,285849,283791
249682,234698,336221,59057,289090,288320
249606,336254,289003,277107,202355,199372
249590,30389,39894,352979,336254,283009
249577,237580,236266,96210,336245,285045
249530,129434,233658,87192,303565,87228
249995,336221,235616,29953,234698,234269
249989,284773,271262,236610,157043,50504
249981,218028,215613,315146,158541,336254
249972,277492,337192,336220,354086,128260
249965,50644,211442,36162,315104,158772
249947,289003,50494,39894,73506,166322
249937,288827,39894,159019,198605,283009
249936,277107,283009,336254,352979,289003
249933,202652,209013,159275,57748,70215
249932,20691,288440,271262,284583,236610
249931,336254,283009,157478,277107,285849
249926,70429,159019,50494,198605,211732
249922,236610,284773,284583,271262,277067
249916,215613,218028,199474,96141,315146
249915,235854,181585,111043,277492,289090
249913,277107,336254,331116,184133,289003
249911,119534,159938,336220,183176,284339
249910,50504,236566,65991,245161,271262
249905,336254,218028,277107,283009,157478
249894,289003,336254,331116,36162,292594
249892,277492,119534,354086,289090,336220
249886,336245,211732,157375,96210,355163
249877,237822,202355,157815,331116,161872
249876,362914,277107,289003,331116,336254
249873,209122,70986,205958,50644,36162
249872,202372,202476,202635,224354,202416
249866,57966,331116,277107,336254,289003
249864,234698,300082,206221,336221,64409
249858,36162,277107,235105,206415,284470
249856,57748,50504,159275,158882,70215
249855,156964,234698,58565,336221,300082
249853,283009,277107,39894,285849,352979
249846,331116,199474,202355,218028,289003
249844,277492,354086,337192,336220,128260
249842,283009,97530,157478,277107,285849
249841,20691,96244,277067,336245,313920
249834,343256,168564,288528,206763,293513
249832,271262,289003,119534,277107,20691
249830,156519,158794,284096,36399,158719
249821,277107,331116,157478,283009,336254
249820,336254,157478,218028,289003,214753
249818,336254,283009,277107,285849,157478
249816,234308,50644,205824,205958,70986
249814,20691,277067,57616,96210,236610
249811,211732,214297,214784,235854,159938
249808,158719,183176,283627,202388,224354
249801,336221,235870,235616,214631,236338
249797,157043,336245,355163,157798,289003
249793,284773,236610,236566,271262,58580
